repoKey,repoType,foldersCount,filesCount,usedSpace,usedSpaceInBytes,itemsCount,packageType,projectKey,percentage
prd1-docker,VIRTUAL,0,0,0 bytes,0,0,Docker,prd1,0%
ztest-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
menu-docker-dev-local,LOCAL,0,0,0 bytes,0,0,Docker,menu,0%
dret-mvn-snapshot-local,LOCAL,180,1870,33.91 GB,36408957563,2050,Maven,dret,0.23%
medu-test-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
dret-mvn-external-cache,CACHE,0,0,0 bytes,0,0,Maven,dret,0%
gatr-maven-dev,VIRTUAL,0,0,0 bytes,0,0,Maven,gatr,0%
brep-build-info,LOCAL,2,8,2.59 KB,2654,10,BuildInfo,brep,0%
mcop-docker-dev,VIRTUAL,0,0,0 bytes,0,0,Docker,mcop,0%
vcet-docker-prod-virtual,VIRTUAL,0,0,0 bytes,0,0,Docker,vcet,0%
gdap-docker-dev-virtual,VIRTUAL,0,0,0 bytes,0,0,Docker,gdap,0%
mmtest-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
gatr-maven-dev-local,LOCAL,0,0,0 bytes,0,0,Maven,gatr,0%
vcet-docker-dev-virtual,VIRTUAL,0,0,0 bytes,0,0,Docker,vcet,0%
jfrog-logs,LOCAL,205,4347,20.17 GB,21653994260,4552,Generic,default,0.13%
pos2-config-local,LOCAL,2,21,13.52 KB,13848,23,Generic,pos2,0%
kios-generic-dev,VIRTUAL,0,0,0 bytes,0,0,Generic,kios,0%
gdap-maven-prod-virtual,VIRTUAL,0,0,0 bytes,0,0,Maven,gdap,0%
medp-docker-hub-cache,CACHE,0,0,0 bytes,0,0,Docker,medp,0%
moxy-maven-dev,VIRTUAL,0,0,0 bytes,0,0,Maven,moxy,0%
prd1-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,prd1,0%
rcc1-generic-ui-prod-local,LOCAL,0,0,0 bytes,0,0,Generic,rcc1,0%
kios-docker-dev-local,LOCAL,7,13,85.68 MB,89842957,20,Docker,kios,0%
dret-python-publish-local,LOCAL,0,0,0 bytes,0,0,Pypi,dret,0%
meup-test-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
mcdp-artifact-test,LOCAL,0,0,0 bytes,0,0,Maven,mcdp,0%
acct-docker-dev,VIRTUAL,0,0,0 bytes,0,0,Docker,acct,0%
mflw-docker-dev-local,LOCAL,0,0,0 bytes,0,0,Docker,mflw,0%
dret-docker-publish-local,LOCAL,0,0,0 bytes,0,0,Docker,dret,0%
rcc1-nuget-dev-virtual,VIRTUAL,0,0,0 bytes,0,0,NuGet,rcc1,0%
rewt-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
gtia-docker-dev-local,LOCAL,0,0,0 bytes,0,0,Docker,gtia,0%
brep-IOT,VIRTUAL,0,0,0 bytes,0,0,Generic,brep,0%
medp-nuget-dev,VIRTUAL,0,0,0 bytes,0,0,NuGet,medp,0%
menu-maven-dev-local,LOCAL,0,0,0 bytes,0,0,Maven,menu,0%
rcc1-generic-ui-dev-virtual,VIRTUAL,0,0,0 bytes,0,0,Generic,rcc1,0%
gdap-maven-dev-local,LOCAL,0,0,0 bytes,0,0,Maven,gdap,0%
medp-docker-dev,VIRTUAL,0,0,0 bytes,0,0,Docker,medp,0%
sand-docker-dev-local,LOCAL,0,0,0 bytes,0,0,Docker,sand,0%
gdap-maven-dev-virtual,VIRTUAL,0,0,0 bytes,0,0,Maven,gdap,0%
oalt-docker-prod-local,LOCAL,0,0,0 bytes,0,0,Docker,oalt,0%
medp-nuget-dev-local,LOCAL,2,1,9.09 KB,9308,3,NuGet,medp,0%
oalt-maven-dev-local,LOCAL,0,0,0 bytes,0,0,Maven,oalt,0%
mcop-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
moxy-docker-dev,VIRTUAL,0,0,0 bytes,0,0,Docker,moxy,0%
rcc1-maven-dev-virtual,VIRTUAL,0,0,0 bytes,0,0,Maven,rcc1,0%
pos2-docker-linux-local,LOCAL,3448,25898,283.24 GB,304131408528,29346,Docker,pos2,1.88%
gtee-docker-dev-local,LOCAL,26,142,4.08 GB,4378095307,168,Docker,gtee,0.03%
pos2-build-info,LOCAL,2,64,153.39 KB,157075,66,BuildInfo,pos2,0%
brep-docker-local,LOCAL,7301,66809,2.72 TB,2985956296750,74110,Docker,brep,18.47%
medp-npm-dev-local,LOCAL,7,6,86.46 KB,88533,13,npm,medp,0%
brep-BRE,VIRTUAL,0,0,0 bytes,0,0,Generic,brep,0%
rcc1-npm-ui-shared-prod-virtual,VIRTUAL,0,0,0 bytes,0,0,npm,rcc1,0%
offr-docker-dev,VIRTUAL,0,0,0 bytes,0,0,Docker,offr,0%
rfm2-ui-dev-local,LOCAL,1,1,2.32 MB,2437722,2,Generic,rfm2,0%
pos2-nuget-local,LOCAL,0,1557,84.65 MB,88767076,1557,NuGet,pos2,0%
vcet-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,vcet,0%
mrmp-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,mrmp,0%
medp-maven-prod-local,LOCAL,2,2,5.76 KB,5902,4,Maven,medp,0%
gtia-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,gtia,0%
rfm2-gradle-prod,VIRTUAL,0,0,0 bytes,0,0,Gradle,rfm2,0%
rcc1-generic-lambda-dev-virtual,VIRTUAL,0,0,0 bytes,0,0,Generic,rcc1,0%
rfm2-build-info,LOCAL,23,4004,6.69 MB,7017717,4027,BuildInfo,rfm2,0%
rcc1-generic-ui-prod-virtual,VIRTUAL,0,0,0 bytes,0,0,Generic,rcc1,0%
pos2-npm,VIRTUAL,0,0,0 bytes,0,0,npm,pos2,0%
brep-npm-local,LOCAL,50,2909,1.60 GB,1716937528,2959,npm,brep,0.01%
gtia-docker-dev,VIRTUAL,0,0,0 bytes,0,0,Docker,gtia,0%
medp-maven-dev-remote-cache,CACHE,1196,992,144.64 MB,151661653,2188,Maven,medp,0%
rfm2-docker-prod-local,LOCAL,0,1,16 bytes,16,1,Docker,rfm2,0%
acct-maven-dev,VIRTUAL,0,0,0 bytes,0,0,Maven,acct,0%
pos2-linux-binaries-local,LOCAL,0,0,0 bytes,0,0,Generic,pos2,0%
brep-bintray-docker-remote-cache,CACHE,178,2205,43.38 GB,46573680344,2383,Docker,brep,0.29%
brep-BREScripts,LOCAL,54,80,2.91 GB,3122233650,134,Generic,brep,0.02%
moxy-maven-dev-local,LOCAL,0,0,0 bytes,0,0,Maven,moxy,0%
dssp-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,dssp,0%
medp-test1-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
medp-test-build-info,LOCAL,0,0,0 bytes,0,0,BuildInfo,default,0%
dret-spring-external-cache,CACHE,0,0,0 bytes,0,0,Maven,dret,0%
kios-maven-dev,VIRTUAL,0,0,0 bytes,0,0,Maven,kios,0%
